No.,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説,分野
1,Google Cloud のリソース階層において、最上位から下位へ正しい順序はどれですか？,プロジェクト → フォルダ → 組織 → リソース,組織 → フォルダ → プロジェクト → リソース,フォルダ → 組織 → プロジェクト → リソース,組織 → プロジェクト → フォルダ → リソース,B,リソース階層は「組織（Organization）→ フォルダ（Folder）→ プロジェクト（Project）→ 個別リソース（Compute Engine など）」の順で構成されます。上位階層に設定した IAM ポリシーや組織ポリシーは、子階層へ継承されます。,【クラウド ソリューション環境の設定】
2,開発・検証・本番環境ごとにプロジェクトを論理的にグループ化し、部署単位でアクセス制御を分離したい場合、最も適切な手段は何ですか？,各プロジェクトに個別の VPC を作成する,フォルダを作成し、環境ごとにプロジェクトを配置する,組織ポリシーでリージョンを 1 つに制限する,請求先アカウントを環境ごとに分割する,B,フォルダはプロジェクトを論理的にグループ化するための階層ノードです。フォルダ単位で IAM を付与すれば、配下のすべてのプロジェクトに権限が継承され、環境や部署ごとのアクセス分離が効率的に行えます。,【クラウド ソリューション環境の設定】
3,Google Cloud 上で Compute Engine や Cloud Storage などのリソースを作成・管理する際の、基本的な課金・管理単位は何ですか？,請求先アカウント,組織,プロジェクト,フォルダ,C,プロジェクトは Google Cloud リソースを格納するコンテナであり、API の有効化、IAM、課金の紐付けなどがプロジェクト単位で行われます。請求先アカウントは課金の支払い単位であり、リソース自体はプロジェクトに属します。,【クラウド ソリューション環境の設定】
4,企業が Google Cloud の「組織（Organization）」ノードを作成するために必要な前提条件は何ですか？,有効な請求先アカウントを 1 つ以上作成していること,Google Workspace または Cloud Identity アカウントを所有していること,Compute Engine API を有効にしていること,最低 3 つのプロジェクトを作成していること,B,組織ノードは Google Workspace または Cloud Identity のドメインと 1 対 1 で紐づきます。組織を作成することで、ドメイン全体のユーザー管理と組織ポリシーの適用が可能になります。,【クラウド ソリューション環境の設定】
5,組織レベルで IAM ロールを付与した場合、その権限が適用される範囲として正しいものはどれですか？,組織ノードのみ（子階層には適用されない）,組織配下のフォルダ・プロジェクト・リソースすべて,同一フォルダ内のプロジェクトのみ,明示的に指定したプロジェクトのみ,B,IAM ポリシーは階層構造に沿って継承されます。組織に付与したロールは、配下のフォルダ、プロジェクト、および各リソースに自動的に適用されます。より具体的な（下位の）ポリシーが優先される場合もあります。,【クラウド ソリューション環境の設定】
6,「特定リージョン以外での Compute Engine インスタンス作成を禁止する」といった、組織全体への制約ルールを設定する仕組みは何ですか？,IAM ポリシー,VPC ファイアウォールルール,組織ポリシー（Organization Policy）,Cloud Armor セキュリティポリシー,C,組織ポリシーは、リソースの作成や設定に関する制約（制約条件）を組織・フォルダ・プロジェクトの階層に適用する仕組みです。IAM が「誰が何をできるか」を制御するのに対し、組織ポリシーは「リソース自体がどのような状態・構成を取れるか」を制限します。,【クラウド ソリューション環境の設定】
7,組織ポリシーの「制約（Constraint）」と IAM の「ロール（Role）」の違いとして、最も適切な説明はどれですか？,制約はユーザーの認証方法を、ロールはネットワーク帯域を制御する,制約はリソースの構成・作成条件を制限し、ロールはプリンシパルに操作権限を付与する,制約とロールは同じ機能であり、名称が異なるだけである,制約はプロジェクト単位のみ、ロールは組織単位のみで設定できる,B,IAM ロールはプリンシパル（ユーザー、グループ、サービスアカウント）に対する操作権限を定義します。一方、組織ポリシーの制約は「外部 IP の付与禁止」「特定 API の利用禁止」など、リソースやサービスの利用条件そのものを組織全体で強制します。,【クラウド ソリューション環境の設定】
8,特定のプロジェクトにおいて、開発者に Compute Engine インスタンスの起動・停止権限のみを付与したい場合、最も適切な IAM ロールはどれですか？,オーナー（Owner）,編集者（Editor）,Compute インスタンス管理者（Compute Instance Admin）,閲覧者（Viewer）,C,最小権限の原則に従い、必要な操作だけを許可する事前定義ロールを選びます。「Compute インスタンス管理者（v1）」は VM の作成・起動・停止・削除など Compute Engine インスタンスの管理権限を付与します。オーナーや編集者は広範な権限を持ちすぎます。,【クラウド ソリューション環境の設定】
9,IAM における「基本ロール（Owner / Editor / Viewer）」と「事前定義ロール」の使い分けとして、ベストプラクティスに沿った説明はどれですか？,基本ロールは最小権限の原則に適しており、通常は基本ロールを優先的に使用する,事前定義ロールは非推奨であり、すべてカスタムロールで代替する,基本ロールは権限範囲が広すぎるため、通常はサービス別の事前定義ロールを使用する,基本ロールと事前定義ロールに機能的な差はない,C,基本ロール（Owner、Editor、Viewer）はプロジェクト内のほぼすべてのリソースに対する広範な権限を付与します。本番環境では最小権限の原則に従い、「Storage オブジェクト閲覧者」など、サービス・操作単位に細分化された事前定義ロールを使用することが推奨されます。,【クラウド ソリューション環境の設定】
10,プロジェクト `my-app-prod` に対して、Google グループ `dev-team@example.com` に「閲覧者（Viewer）」ロールを付与する主な目的として正しいものはどれですか？,グループメンバーがプロジェクト内のリソースを参照（read）できるようにする,グループメンバーがすべてのリソースを作成・変更・削除できるようにする,グループメンバーが請求先アカウントの設定を変更できるようにする,グループメンバーが組織ポリシーを編集できるようにする,A,閲覧者（Viewer）ロールはリソースの参照（get、list など）のみを許可し、変更操作はできません。Google グループをプリンシパルとして指定すると、グループメンバー全員に一括で権限を付与でき、メンバー変更時の IAM 更新も不要になります。,【クラウド ソリューション環境の設定】
11,新しいプロジェクトで Compute Engine を使用する前に、最初に行う必要がある設定は何ですか？,VPC にサブネットを 3 つ以上作成する,Compute Engine API を有効にする,Cloud Monitoring のアラートポリシーを作成する,サービスアカウントにオーナーロールを付与する,B,Google Cloud の各サービスは、プロジェクトで対応する API が有効化されていなければ利用できません。Compute Engine API を有効にすることで、VM インスタンスの作成や管理が可能になります。API の有効化は Google Cloud コンソール、Cloud CLI（`gcloud services enable`）、または Terraform などで行います。,【クラウド ソリューション環境の設定】
12,プロジェクトで使用する Google Cloud API の有効化状態を確認・管理する際、API と課金の関係として正しいものはどれですか？,API を有効にすると、その API に関わるすべての操作が無料になる,API を有効にしても、実際にリソースを利用した場合のみ課金が発生する,API の有効化自体に月額固定料金が発生する,API は請求先アカウントにリンクされていないと有効化できない,B,API の有効化自体には通常コストはかかりません。課金は API を通じてリソース（VM、ストレージ、クエリ実行など）を実際に利用した際に発生します。ただし、プロジェクトが請求先アカウントにリンクされていない場合、多くの有料リソースは作成できません。,【クラウド ソリューション環境の設定】
13,新規プロジェクトの運用監視基盤を構築する際、「Google Cloud Observability」に含まれる主要コンポーネントの組み合わせとして正しいものはどれですか？,Cloud Monitoring と Cloud Logging,Cloud Storage と Cloud CDN,Cloud Build と Artifact Registry,Cloud DNS と Cloud NAT,A,Google Cloud Observability は、Cloud Monitoring（メトリクス収集・アラート）と Cloud Logging（ログ収集・分析）を中心とした統合監視基盤です。新規プロジェクトでは、デフォルトで多くのリソースのログとメトリクスが自動収集されますが、カスタムダッシュボードやアラートポリシーの設定が推奨されます。,【クラウド ソリューション環境の設定】
14,Compute Engine VM 上の syslog やアプリケーションログを Cloud Logging で収集・確認したい場合、通常導入すべきものはどれですか？,Ops エージェント,Cloud Storage のライフサイクル管理,Cloud NAT,組織ポリシー,A,Compute Engine の Admin Activity 監査ログなどは Cloud Logging に自動的に送信されます。一方、VM ゲスト OS の syslog やアプリケーションログ、詳細なメトリクスを収集するには、通常 Ops エージェントをインストールして設定します。Ops エージェントは Cloud Logging と Cloud Monitoring にログ・メトリクスを送信します。,【クラウド ソリューション環境の設定】
15,プロジェクトで Compute Engine インスタンスの vCPU 数が上限（クォータ）に達し、新しい VM を作成できなくなった場合、対処方法として正しいものはどれですか？,新しい請求先アカウントを作成してプロジェクトを移行する,IAM ロールを変更してクォータを自動解除する,Google Cloud コンソールまたは Cloud CLI からクォータの引き上げをリクエストする,組織ポリシーの制約を削除する,C,クォータ（割り当て）は、プロジェクトまたは組織ごとにリソース使用量の上限を定めたものです。上限に達した場合は、Google Cloud コンソールの「IAM と管理 > 割り当て」から引き上げをリクエストします。審査後に承認されれば上限が増加します。請求先アカウントや IAM の変更ではクォータは変わりません。,【クラウド ソリューション環境の設定】
16,Google Cloud の請求先アカウント（Cloud Billing Account）とプロジェクトの関係として、正しいものはどれですか？,1 つのプロジェクトに複数の請求先アカウントを同時にリンクできる,1 つの請求先アカウントに複数のプロジェクトをリンクできる,請求先アカウントなしでもすべての有料リソースを無制限に利用できる,請求先アカウントはプロジェクト内に自動作成される,B,1 つの請求先アカウントに複数のプロジェクトを紐付けて、利用料金を一括管理できます。逆に、1 つのプロジェクトにリンクできる請求先アカウントは同時に 1 つだけです。プロジェクトを請求先アカウントにリンクしない場合、Compute Engine などの有料リソースは作成できません（無料枠内の一部サービスを除く）。,【クラウド ソリューション環境の設定】
17,開発チーム用プロジェクト `dev-project-001` の月次クラウド費用を、既存の請求先アカウント `billing-acct-123` で支払うようにする操作は何ですか？,プロジェクトに Compute Engine API を有効化する,プロジェクトを請求先アカウント `billing-acct-123` にリンクする,プロジェクトを組織のフォルダに移動する,プロジェクトに Pub/Sub トピックを作成する,B,プロジェクトを請求先アカウントにリンクすることで、そのプロジェクト内で発生する利用料金の支払い先が決まります。Google Cloud コンソールの「お支払い > アカウント管理」、または `gcloud billing projects link` コマンドで設定できます。,【クラウド ソリューション環境の設定】
18,プロジェクトの月間利用料金が予算の 90% に達した際に、チームにメール通知を送りたい場合、設定すべき機能は何ですか？,Cloud Monitoring のアラートポリシー,Cloud Billing の予算とアラート,Cloud Logging のログベースのアラート,IAM の条件付きアクセス,B,Cloud Billing の「予算とアラート（Budgets & alerts）」機能では、月次またはカスタム期間の予算額を設定し、50%、90%、100% などのしきい値を超えた際にメール通知や Pub/Sub 通知を送信できます。Cloud Monitoring のアラートはリソースメトリクス向けであり、課金予算の管理には Cloud Billing の予算機能を使用します。,【クラウド ソリューション環境の設定】
19,複数プロジェクトにまたがる詳細なコスト分析を BigQuery で行いたい場合、設定すべき Cloud Billing の機能は何ですか？,予算とアラート,課金データの BigQuery へのエクスポート,コミットメント使用割引（CUD）,請求先アカウントの分割,B,Cloud Billing の「課金データのエクスポート（Billing export）」を BigQuery に設定すると、日次で詳細な利用料金データ（SKU 単位、ラベル、プロジェクト別など）が自動的に BigQuery データセットに書き込まれます。SQL 分析や Looker Studio との連携による高度なコスト可視化が可能になります。,【クラウド ソリューション環境の設定】
20,あるプロジェクトの請求先アカウントのリンクを解除（unlink）した場合、起こりうる影響として正しいものはどれですか？,既存リソースは即座にすべて削除される,新しい有料リソースの作成ができなくなる可能性がある,IAM ポリシーがすべてリセットされる,組織ポリシーが自動的に無効化される,B,請求先アカウントのリンクを解除すると、そのプロジェクトでは新たな有料リソースの作成や、既存リソースのスケールアップなどが制限されます。既存のリソースが即座に削除されるわけではありませんが、請求先アカウントがない状態が続くと、サービスの利用に支障が出ます。本番プロジェクトではリンク解除は慎重に行う必要があります。,【クラウド ソリューション環境の設定】
21,Google Cloud プロジェクトを識別する属性のうち、作成後に変更できないものの組み合わせとして正しいものはどれですか？,プロジェクト名（Project Name）のみ,プロジェクト ID（Project ID）のみ,プロジェクト番号（Project Number）のみ,プロジェクト ID（Project ID）とプロジェクト番号（Project Number）,D,プロジェクト ID はグローバルに一意であり、作成時に設定した値を後から変更できません。プロジェクト番号も Google が自動採番する変更不可の数値 ID です。一方、プロジェクト名は表示用ラベルであり、後から変更できます。,【クラウド ソリューション環境の設定】
22,本番用プロジェクトを誤って「開発」フォルダ配下に作成してしまいました。プロジェクトを「本番」フォルダへ移動する主な目的として正しいものはどれですか？,プロジェクト ID を変更するため,親フォルダに設定された IAM ポリシーと組織ポリシーの継承先を変更するため,請求先アカウントを自動的に切り替えるため,プロジェクト内の VM を別リージョンへ移動するため,B,プロジェクトの親（フォルダまたは組織）を変更すると、継承される IAM ポリシーと組織ポリシーが新しい親階層のものに切り替わります。プロジェクト ID や請求先アカウントは、フォルダ移動だけでは変更されません。,【クラウド ソリューション環境の設定】
23,Google Workspace や Cloud Identity を利用していない個人ユーザーが作成したプロジェクトの、リソース階層上の位置として正しいものはどれですか？,組織ノードの直下に自動配置される,いずれの組織・フォルダにも属さない「ノーオーガニゼーション（No organization）」配下にある,Google 管理の共有フォルダ配下にある,請求先アカウントの直下にある,B,組織ノードは Google Workspace または Cloud Identity ドメインに紐づきます。ドメインを持たない個人アカウントで作成したプロジェクトは「No organization」に属し、組織ポリシーや組織レベルの IAM 統制の対象外となります。企業利用では組織への移行が推奨されます。,【クラウド ソリューション環境の設定】
