No.,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説,分野
1,企業が自社で物理サーバーを購入・維持する形態から、クラウドに移行することで得られる財務上の最大の変化は何ですか？,運用費（OpEx）から資本的支出（CapEx）への移行,資本的支出（CapEx）から運用費（OpEx）への移行,総所有コスト（TCO）の増加,ソフトウェアライセンス費用の固定化,B,初期投資となるインフラ購入費（CapEx）を削減し、使った分だけ支払う継続的な運用費（OpEx）に切り替えることができます。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
2,クラウドインフラの需要増減に合わせて、リソースを自動的かつ瞬時に拡張・縮小できる能力を何と呼びますか？,弾力性（Elasticity）,可用性（Availability）,耐障害性（Fault Tolerance）,信頼性（Reliability）,A,トラフィックのピーク時のみリソースを増やし、閑散期には減らすことでコストを最適化できる能力を弾力性（スケーラビリティ）と呼びます。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
3,インフラストラクチャを自社（オンプレミス）とパブリッククラウドの両方に配置し、連携させて運用するアーキテクチャは何ですか？,マルチクラウド,プライベートクラウド,ハイブリッドクラウド,コミュニティクラウド,C,機密データはオンプレミスに、Webフロントはクラウドを利用するなど、両者を組み合わせた運用がハイブリッドクラウドです。複数のパブリッククラウドを組み合わせる場合はマルチクラウドと呼びます。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
4,特定のクラウドプロバイダーの技術に依存しすぎず、複数のクラウドを組み合わせて利用したり、移行を容易にしたりする戦略の主な目的は何ですか？,レイテンシの増加,TCOの最大化,セキュリティの単一障害点の作成,ベンダーロックインの回避,D,オープンソース技術などを活用し、特定のベンダーに縛られない（ロックインされない）状態を作るための戦略です。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
5,IaaS、PaaS、SaaSのうち、Google Workspace（旧G Suite）やGmailはどれに分類されますか？,IaaS,PaaS,SaaS,DBaaS,C,ソフトウェア自体がインターネット経由で提供され、ユーザーがインフラやプラットフォームの管理を行わない形態をSaaS（Software as a Service）と呼びます。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
6,システムの導入・運用・保守・廃棄にかかるすべての費用の合計を指す用語は何ですか？,ROI（投資利益率）,TCO（総所有コスト）,SLA（サービスレベル契約）,SLI（サービスレベル指標）,B,クラウドへの移行を検討する際は、初期の導入費用だけでなくTCO（Total Cost of Ownership）全体で比較することが重要です。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
7,企業内の各部門がデータを独自に管理し、他部門と共有・連携できていない状態を何と呼びますか？,データレイク,データウェアハウス,データのサイロ化,データの民主化,C,各部門が孤立してデータを保持している状態をサイロ化と呼びます。DX推進においては、これを破壊し統合することが求められます。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
8,サービス提供者がユーザーに対して保証する、サービスの稼働率などの契約上の合意は何ですか？,SLO,SLI,SLA,SRE,C,SLA（Service Level Agreement）は契約上の合意です。これを下回った場合、Google Cloudでは金銭的補償（サービスクレジット）が提供されます。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
9,サーバーやネットワークなどのインフラ環境一式をインターネット経由で提供するクラウドモデルは何ですか？,FaaS,SaaS,PaaS,IaaS,D,IaaS（Infrastructure as a Service）は、VMやストレージなどのインフラ基盤を提供するモデルです。OS以上の管理はユーザーが行います。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
10,Google Cloudのグローバルインフラストラクチャの最大の強み・特徴は何ですか？,すべてのデータセンターが単一の地域に集中していること,独自の専用グローバル光ファイバーネットワーク,他社のデータセンターを間借りしていること,物理セキュリティを顧客に委任していること,B,Google Cloudは独自の強力なネットワーク網を持っており、公衆インターネットを通る区間を最小限に抑え、高速でセキュアな通信を実現しています。,【単元1：デジタルトランスフォーメーションとクラウドの基礎】
