No.,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説,分野
1,生成 AI（Generative AI）の主な特徴として最も適切なものはどれですか？,既存データを決められた規則に従って並べ替えることだけを行う,学習したパターンを基に、文章、画像、音声、コードなどの新しいコンテンツを生成する,データベース内のデータを削除することに特化している,ネットワークの通信速度を自動的に向上させる,B,生成 AI は、学習データから得たパターンを利用して、新しい文章、画像、音声、コードなどを生成する AI の総称です。分類や予測を主目的とする従来の機械学習とは、代表的な用途が異なります。,【生成 AI の基礎】
2,大量かつ多様なデータで事前学習され、多くの生成 AI アプリケーションの土台となるモデルを何と呼びますか？,基盤モデル（Foundation Model）,リレーショナルモデル,ファイアウォールモデル,バックアップモデル,A,基盤モデルは、大規模なデータセットで事前学習された汎用的なモデルです。プロンプト、追加学習、RAG などを通じて、さまざまな業務やタスクに適応できます。,【生成 AI の基礎】
3,LLM（大規模言語モデル）が主に扱う対象は何ですか？,自然言語のテキスト,物理サーバーの温度だけ,ネットワークケーブルの配線だけ,データセンターの建物設計だけ,A,LLM（Large Language Model）は、大量のテキストを学習し、文章の要約、生成、翻訳、質問応答、コード生成などを行う基盤モデルの一種です。,【生成 AI の基礎】
4,生成 AI モデルがテキストを処理・生成する際の、単語または単語の一部などに分割された基本単位を何と呼びますか？,トークン,ゾーン,バケット,インスタンス,A,トークンは、モデルがテキストを扱う際の基本的な単位です。入力と出力のトークン数は、利用料金、応答速度、コンテキストとして扱える情報量に影響します。,【生成 AI の基礎】
5,生成 AI に対して、実行してほしいタスク、条件、文脈、出力形式などを指示する入力を何と呼びますか？,プロンプト,デプロイ,暗号鍵,スナップショット,A,プロンプトは、生成 AI への指示や入力です。目的、対象読者、制約、望む出力形式を明確に記載することで、期待に沿った応答を得やすくなります。,【生成 AI の基礎】
6,生成 AI アプリケーションにおいて、モデルの振る舞い、口調、安全上の制約などを、ユーザー入力より高い優先度で定義する指示は何ですか？,システム指示,ユーザープロンプト,モデル出力,トークン化,A,システム指示は、アシスタントの役割や守るべきルールを定義するために使います。例えば、「根拠がない内容は推測せず、不明と答える」といった一貫した制約を設定できます。,【生成 AI の基礎】
7,モデルが一度のリクエストで参照できる入力と生成できる出力の合計量に関する上限を表す用語は何ですか？,コンテキスト ウィンドウ,可用性ゾーン,スループット,SLA,A,コンテキスト ウィンドウは、モデルが一度に扱えるトークン量の上限です。長い文書や会話履歴を入力する場合は、この上限を考慮して情報を選択・要約する必要があります。,【生成 AI の基礎】
8,生成 AI の回答を毎回似た内容にして、事実に基づく定型的な出力を得やすくしたい場合、一般に低く設定するパラメータは何ですか？,温度（Temperature）,ストレージ容量,CPU 使用率,ネットワーク帯域,A,温度は、出力時の候補選択のランダム性を調整する代表的なパラメータです。低い値ではより一貫性のある出力になりやすく、高い値では多様で創造的な出力になりやすい一方、ばらつきも増えます。,【生成 AI の基礎】
9,生成 AI がもっともらしいものの、事実と異なる内容や存在しない根拠を出力する現象を何と呼びますか？,ハルシネーション,オートスケーリング,デフラグメンテーション,レプリケーション,A,ハルシネーションは、生成 AI が事実でない情報を自信を持って生成することがある現象です。重要な意思決定では、信頼できる情報源との照合や人による確認を組み合わせる必要があります。,【生成 AI の基礎】
10,社内規程や最新の製品情報などを根拠として参照させ、生成 AI の回答の正確性と検証可能性を高めるアプローチは何ですか？,グラウンディング（Grounding）,トークン化,コンテナ化,シャーディング,A,グラウンディングは、信頼できるデータソースを回答の根拠としてモデルに与えるアプローチです。モデルだけの知識に依存する場合と比べて、ハルシネーションの低減や根拠の提示に役立ちます。,【生成 AI の基礎】
11,RAG（検索拡張生成）の処理として最も適切なものはどれですか？,外部データを検索し、関連する情報をプロンプトの文脈として与えてから回答を生成する,モデルの全パラメータを毎回ゼロから再学習する,入力データを検索せず、必ず同じ定型文を返す,すべての社内文書を外部に公開する,A,RAG（Retrieval-Augmented Generation）は、質問に関連する文書を検索（Retrieval）し、その内容を文脈に含めて生成（Generation）する手法です。変化しやすい独自情報を活用する場合に有効です。,【生成 AI の基礎】
12,テキストや画像などの意味的な特徴を数値のベクトルとして表現し、類似する情報を検索するために利用されるものは何ですか？,エンベディング（Embedding）,ファイルシステム,ロードバランサ,仮想マシン,A,エンベディングは、データの意味や特徴を高次元の数値ベクトルに変換した表現です。RAG では、質問と文書の意味的な近さを比較して関連文書を検索するために利用されます。,【生成 AI の基礎】
13,基盤モデルそのものを変更せず、プロンプトの設計・改善によって出力品質を高める取り組みを何と呼びますか？,プロンプト エンジニアリング,ハードウェア保守,データセンター移設,バックアップ運用,A,プロンプト エンジニアリングでは、指示の明確化、制約の提示、回答例の追加、出力形式の指定などにより、モデルの応答を目的に合わせて改善します。多くの場合、追加学習より迅速に試行できます。,【生成 AI の基礎】
14,特定の業務領域のデータを用いて、基盤モデルの振る舞いや性能を特定タスク向けに調整する手法は何ですか？,ファインチューニング,データ削除,ネットワーク分離,キャッシュ無効化,A,ファインチューニングは、事前学習済みの基盤モデルを追加データで学習させ、特定のタスク、文体、専門領域への適合を高める手法です。最新の社内知識を都度参照させる用途では、RAG も有力な選択肢です。,【生成 AI の基礎】
15,テキストだけでなく、画像、音声、動画など複数の種類の情報を理解または生成できる AI の特性を何と呼びますか？,マルチモーダル,モノリシック,ステートレス,リージョナル,A,マルチモーダル AI は、テキスト、画像、音声、動画など複数のモダリティを扱えます。例えば、画像を入力して内容を説明させたり、文書画像から情報を抽出したりできます。,【生成 AI の基礎】
16,Google Cloud で Gemini などの基盤モデルを利用し、生成 AI アプリケーションを開発・運用するための統合 AI プラットフォームは何ですか？,Vertex AI,Cloud Vision API,Document AI,Cloud Storage,A,Vertex AI は、基盤モデルへのアクセス、プロンプトの試作、モデルのチューニング、評価、デプロイなどを統合的に支援する AI プラットフォームです。,【生成 AI の基礎】
17,生成 AI を利用して顧客向け回答を自動化する際、リスクの高い回答を人が確認・承認できる工程を組み込むアプローチは何ですか？,Human-in-the-loop（人間による監督）,ゼロトラスト,リフト＆シフト,オートスケーリング,A,Human-in-the-loop は、AI の出力を人が確認、修正、承認する運用です。法務、医療、金融など、誤りや不適切な応答の影響が大きい場面で、責任ある AI 利用を支えます。,【生成 AI の基礎】
18,生成 AI の責任ある利用において、学習データや出力に含まれる不公平な傾向によって、特定の属性を持つ人々に不利益が生じるリスクを何と呼びますか？,バイアス,スケーラビリティ,レイテンシ,冗長化,A,バイアスは、データやモデル、運用設計に由来する偏りです。代表性のある評価データを用い、多様な観点で出力を検証し、必要に応じて人の監督を設けることが重要です。,【生成 AI の基礎】
19,生成 AI アプリケーションを本番導入する前に、正確性、有害性、関連性、指示への追従性などを測定する主な目的は何ですか？,モデルの品質と安全性を継続的に評価・改善するため,必ずすべての回答を同じ文章にするため,入力データの保護を不要にするため,利用者によるフィードバックを禁止するため,A,生成 AI の評価では、ユースケースに応じた基準とテストデータを定め、品質と安全性を確認します。本番環境でも利用状況やフィードバックを監視し、継続的に改善することが重要です。,【生成 AI の基礎】
20,企業の非公開情報を生成 AI に入力する際、最も適切な基本方針はどれですか？,データ分類、アクセス制御、利用ポリシーを定め、機密性とコンプライアンスを確認したうえで利用する,機密情報を常に無制限にすべての利用者へ共有する,出力が便利であれば、データの取り扱い規則を確認しない,AI を利用する場合は、データの所有者や利用目的を記録しない,A,生成 AI の導入では、入力データの分類、最小権限によるアクセス制御、保存・利用方法の確認、法令や社内ポリシーへの準拠が不可欠です。利便性だけでなく、データ保護とガバナンスを設計に組み込みます。,【生成 AI の基礎】
21,LLM が入力とそれまでに生成した内容を基に、次のトークンを順に予測して文章を作る方式を何と呼びますか？,自己回帰的生成,データベース正規化,ディスク暗号化,ネットワークルーティング,A,多くの LLM は、前のトークン列から次のトークンを一つずつ予測する自己回帰的な方式で出力を生成します。そのため、指示や文脈の与え方が後続の回答に影響します。,【生成 AI の基礎】
22,追加学習を行わず、タスクの説明だけをプロンプトで与えて回答させる手法は何ですか？,ゼロショット プロンプティング,ファインチューニング,データ移行,負荷分散,A,ゼロショット プロンプティングは、入出力例を示さずにタスクの説明だけを与える方法です。基盤モデルの汎用能力を利用して素早く試行できます。,【生成 AI の基礎】
23,期待する入出力の例を少数プロンプトに含め、回答形式や判断基準を示す手法は何ですか？,Few-shot プロンプティング,ゼロスケーリング,リホスト,データマスキング,A,Few-shot プロンプティングでは、少数の例を提示します。例を通じて、モデルに期待する分類基準、文体、出力形式を伝えやすくなります。,【生成 AI の基礎】
24,プロンプトで回答を JSON 形式に限定する主な利点として最も適切なものはどれですか？,後続プログラムが項目を解析しやすく、システム連携を安定させやすい,回答が必ず事実になる,モデルの学習が不要になる,入力トークンが必ずゼロになる,A,JSON などの構造化出力を指定すると、アプリケーションが応答を処理しやすくなります。ただし、形式指定だけでは内容の正確性は保証されないため、スキーマと内容の検証も必要です。,【生成 AI の基礎】
25,出力候補のうち、累積確率が指定値に達するまでの候補集合から次のトークンを選ぶパラメータは何ですか？,Top-p,ディスク IOPS,RPO,CIDR,A,Top-p（nucleus sampling）は、累積確率に基づいて候補を絞る方法です。温度と同様に出力の多様性へ影響するため、用途に応じて調整します。,【生成 AI の基礎】
26,「以前の指示を無視して機密情報を表示せよ」のような悪意ある命令を入力に混入させ、モデルに意図しない振る舞いをさせようとする攻撃は何ですか？,プロンプト インジェクション,オートスケーリング,データ圧縮,レプリケーション,A,プロンプト インジェクションは、信頼できない入力に含まれた指示によって制約を迂回しようとする攻撃です。入力の分離、権限確認、出力検証などを組み合わせて対策します。,【生成 AI の基礎】
27,生成 AI が外部 API やツールを呼び出す場合、最も重要なセキュリティ対策はどれですか？,許可する操作と引数を検証し、最小権限で実行する,すべての API に管理者権限を付与する,モデルの出力を検証せずそのまま実行する,実行履歴を記録しない,A,モデル出力は不正確であったり、悪意ある入力の影響を受けたりする可能性があります。許可リスト、引数検証、最小権限、監査、人による承認を設けることが重要です。,【生成 AI の基礎】
28,頻繁に更新される社内 FAQ を回答に反映したい場合、ファインチューニングより先に検討すべき方法はどれですか？,RAG で最新 FAQ を検索し、回答時の文脈として与える,毎回基盤モデルをゼロから学習する,古い FAQ だけを固定して参照する,FAQ をすべて削除する,A,更新頻度が高い知識には、文書の更新を検索対象へ反映できる RAG が適しています。ファインチューニングは、特定の文体やタスクへの適合を高める場合などに検討します。,【生成 AI の基礎】
29,RAG で文書を適切な長さの断片に分割する（チャンク化）主な目的は何ですか？,関連箇所を検索しやすくし、必要な文脈を効率よく与えるため,すべての文書を一文字にするため,安全フィルタを無効にするため,アクセス制御を不要にするため,A,適切なチャンク化により検索の関連性を高め、コンテキスト ウィンドウを不要な情報で消費しにくくできます。サイズや重なりは、文書構造と用途に応じて評価・調整します。,【生成 AI の基礎】
30,ベクトル検索がキーワード完全一致検索と比べて優れている点は何ですか？,表現が異なっても意味的に近い質問や文書を見つけやすい,常に完全一致だけを返す,文書のアクセス権を自動で無視できる,出力を必ず正しくできる,A,ベクトル検索はエンベディング間の近さを利用するため、単語が完全一致しなくても意味が近い情報を検索できます。検索結果の品質評価と権限に応じたフィルタリングは別途必要です。,【生成 AI の基礎】
31,生成 AI の「推論（inference）」とは一般に何を指しますか？,学習済みモデルに入力を与え、予測やコンテンツ生成を行うこと,モデルのパラメータを更新することだけ,物理サーバーを購入すること,データを長期保管すること,A,推論は、学習済みモデルを利用して入力から出力を得る処理です。トレーニングは、データを用いてモデルのパラメータを更新し、能力を獲得・調整する処理を指します。,【生成 AI の基礎】
32,モデルのトレーニングに使われていないデータで性能を測定する主な理由は何ですか？,未知のデータへの性能や過学習の有無を評価するため,学習データを必ず削除するため,モデルのパラメータを常に増やすため,すべての出力を同じにするため,A,検証データやテストデータで評価することで、モデルが学習データを単に記憶しているだけではなく、新しいデータにも適切に対応できるかを確認します。,【生成 AI の基礎】
33,生成 AI の出力について、正確性に加えて有害性、偏り、個人情報の露出なども確認する主な目的は何ですか？,モデルを責任を持って安全に利用できるようにするため,応答時間を必ずゼロにするため,データ保護の要件をなくすため,人によるレビューを禁止するため,A,生成 AI の品質は正答率だけでは測れません。安全性、公平性、プライバシー、関連性をユースケースに応じて評価し、リスクを低減する設計・運用が必要です。,【生成 AI の基礎】
34,不適切、有害、またはポリシーに反する入力・出力を検出し、ブロックや再確認を行う仕組みは何ですか？,安全フィルタ,データレプリケーション,ロードバランシング,デフラグメンテーション,A,安全フィルタは、暴力、差別、個人情報の露出など、定義したリスクカテゴリに該当する可能性のある入力や出力を検出・制御する仕組みです。利用ポリシーや人の監督と組み合わせます。,【生成 AI の基礎】
35,生成 AI が作成した文章や画像を公開する前に、著作権、商標、第三者の権利を確認する主な理由は何ですか？,知的財産権の侵害や法的・評判上のリスクを低減するため,トークン数を必ず減らすため,コンテキスト ウィンドウを増やすため,すべての入力を公開するため,A,生成物の対外公開や商用利用では、著作権、商標、ライセンス、肖像やプライバシーなどを確認する必要があります。組織の利用ポリシーとレビュー手順に従うことが重要です。,【生成 AI の基礎】
36,基盤モデル、RAG、外部ツールを組み合わせ、目標に向けて複数の手順を計画・実行する AI システムを一般に何と呼びますか？,AI エージェント,オブジェクトストレージ,ハイパーバイザ,コンテンツ配信ネットワーク,A,AI エージェントは、検索や API 呼び出しなどのツールを選択してタスクを進めるシステムです。外部操作を伴うため、権限の限定、実行内容の検証、監査が特に重要です。,【生成 AI の基礎】
37,Google Cloud で、プロンプトの試作、Gemini などのモデル利用、RAG や評価を含む生成 AI アプリケーション開発を支援するサービスはどれですか？,Vertex AI,Cloud Vision API,Document AI,Cloud Storage,A,Vertex AI は、基盤モデルへのアクセス、プロンプトの開発、RAG を含む生成 AI アプリケーションの構築、評価・運用を支援する統合 AI プラットフォームです。,【生成 AI の基礎】
38,生成 AI アプリケーションの利用状況を監視する際、入力・出力を必要以上に保存せず、マスキングやアクセス制御を設計すべき主な理由は何ですか？,個人情報や機密情報がログに含まれるリスクを低減するため,モデルのパラメータ数を増やすため,監査記録を不要にするため,全利用者に無制限の閲覧権限を付与するため,A,プロンプトやモデル応答には個人情報や営業秘密が含まれる可能性があります。データ最小化、マスキング、保持期間、アクセス制御を設計し、監視とプライバシー保護を両立させます。,【生成 AI の基礎】
39,生成 AI の回答に根拠文書への参照や引用を表示する主な利点は何ですか？,利用者が根拠を確認しやすく、検証や信頼性の判断に役立つ,モデルが必ず誤答しなくなる,すべての社内文書を公開しなければならなくなる,検索結果のアクセス制御が不要になる,A,根拠の参照先を示すことで、利用者は回答がどの情報に基づくかを確認できます。RAG を用いる業務では、引用の表示と元文書へのアクセス権管理が信頼性の向上に役立ちます。,【生成 AI の基礎】
40,生成 AI の導入後、プロンプト、検索対象データ、モデル、評価基準を定期的に見直す理由として最も適切なものはどれですか？,利用状況や要件の変化に応じて、品質・安全性・コストを継続的に改善するため,一度導入したモデルを変更しないため,監視や利用者フィードバックを不要にするため,データガバナンスを廃止するため,A,生成 AI の運用品質はモデルだけで決まりません。評価結果、利用者のフィードバック、検索データ、リスクの変化を踏まえ、プロンプトやガードレールを継続的に改善することが重要です。,【生成 AI の基礎】
41,Transformer モデルが、入力中の各トークン間の関係性を捉えるために用いる代表的な仕組みは何ですか？,Attention（注意機構）,ディスクのスナップショット,IP アドレス変換,ファイル圧縮,A,Attention は、あるトークンを処理する際に、入力内のどのトークンをどの程度重視するかを計算する仕組みです。Transformer と多くの LLM の中核技術です。,【生成 AI の基礎】
42,テキストから画像を生成するモデルで、ランダムなノイズを段階的に取り除くようにして画像を生成する代表的な手法は何ですか？,拡散モデル（Diffusion Model）,リレーショナルモデル,ロードバランシング,インデックス作成,A,拡散モデルは、ノイズを加える過程の逆を学習し、ノイズから画像などを段階的に生成する手法です。画像生成 AI で広く利用されています。,【生成 AI の基礎】
43,テキスト、画像、音声など複数のモダリティを扱えるモデルを選ぶ主な利点は何ですか？,複数形式の情報を組み合わせた理解や生成ができる,常にインターネット接続が不要になる,データ保護が不要になる,出力内容が必ず正確になる,A,マルチモーダルモデルは、画像付きの問い合わせへの回答、音声の要約、文書画像の理解など、単一のデータ形式だけでは難しいタスクに対応できます。,【生成 AI の基礎】
44,生成 AI アプリケーションで、モデル選定時に品質だけでなく応答時間、コスト、安全性も評価すべき主な理由は何ですか？,ビジネス要件と運用上の制約に適したトレードオフを選ぶため,最も大きいモデルだけを必ず選ぶため,評価を一度だけで終えるため,データガバナンスを不要にするため,A,大規模なモデルが常に最適とは限りません。用途に必要な品質、レイテンシ、処理量、費用、安全性を比較し、要件に合うモデルと設計を選択します。,【生成 AI の基礎】
